ISO,Energy,Units,Month,Year,Generation
FRCC,Nuclear,billion kilowatthours,February,2011,1.55
FRCC,Conventional hydropower,billion kilowatthours,February,2011,0.01
FRCC,Nonhydro renewables,billion kilowatthours,February,2011,0.19
FRCC,other energy sources,billion kilowatthours,February,2011,0.28
MISO,Natural gas,billion kilowatthours,February,2011,6.14
MISO,Coal,billion kilowatthours,February,2011,32.55
MISO,Nuclear,billion kilowatthours,February,2011,7.94
MISO,Conventional hydropower,billion kilowatthours,February,2011,0.48
MISO,Nonhydro renewables,billion kilowatthours,February,2011,2.95
MISO,other energy sources,billion kilowatthours,February,2011,0.77
SPP,Natural gas,billion kilowatthours,February,2011,3.64
SPP,Coal,billion kilowatthours,February,2011,13.39
SPP,Nuclear,billion kilowatthours,February,2011,1.64
SPP,Conventional hydropower,billion kilowatthours,February,2011,0.83
SPP,Nonhydro renewables,billion kilowatthours,February,2011,1.39
SPP,other energy sources,billion kilowatthours,February,2011,0.11
ERCOT,Natural gas,billion kilowatthours,February,2011,8.22
ERCOT,Coal,billion kilowatthours,February,2011,8.87
ERCOT,Nuclear,billion kilowatthours,February,2011,3.47
ERCOT,Conventional hydropower,billion kilowatthours,February,2011,0.03
ERCOT,Nonhydro renewables,billion kilowatthours,February,2011,2.38
ERCOT,other energy sources,billion kilowatthours,February,2011,0.26
Northwest and Rockies,Natural gas,billion kilowatthours,February,2011,3.08
Northwest and Rockies,Coal,billion kilowatthours,February,2011,10.27
Northwest and Rockies,Nuclear,billion kilowatthours,February,2011,0.75
Northwest and Rockies,Conventional hydropower,billion kilowatthours,February,2011,14.47
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,February,2011,2.12
Northwest and Rockies,other energy sources,billion kilowatthours,February,2011,0.05
Southwest,Natural gas,billion kilowatthours,February,2011,1.56
Southwest,Coal,billion kilowatthours,February,2011,5.02
Southwest,Nuclear,billion kilowatthours,February,2011,2.69
Southwest,Conventional hydropower,billion kilowatthours,February,2011,0.77
Southwest,Nonhydro renewables,billion kilowatthours,February,2011,0.51
Southwest,other energy sources,billion kilowatthours,February,2011,0
CAISO,Natural gas,billion kilowatthours,February,2011,6.54
CAISO,Coal,billion kilowatthours,February,2011,1.2
CAISO,Nuclear,billion kilowatthours,February,2011,2.5
CAISO,Conventional hydropower,billion kilowatthours,February,2011,2.35
CAISO,Nonhydro renewables,billion kilowatthours,February,2011,1.56
CAISO,other energy sources,billion kilowatthours,February,2011,0.1
ISO-NE,Natural gas,billion kilowatthours,March,2011,4.12
ISO-NE,Coal,billion kilowatthours,March,2011,0.67
ISO-NE,Nuclear,billion kilowatthours,March,2011,3.44
ISO-NE,Conventional hydropower,billion kilowatthours,March,2011,0.79
ISO-NE,Nonhydro renewables,billion kilowatthours,March,2011,0.54
ISO-NE,other energy sources,billion kilowatthours,March,2011,0.14
NYISO,Natural gas,billion kilowatthours,March,2011,4.26
NYISO,Coal,billion kilowatthours,March,2011,0.68
NYISO,Nuclear,billion kilowatthours,March,2011,3.13
NYISO,Conventional hydropower,billion kilowatthours,March,2011,2.39
NYISO,Nonhydro renewables,billion kilowatthours,March,2011,0.44
NYISO,other energy sources,billion kilowatthours,March,2011,0.19
PJM,Natural gas,billion kilowatthours,March,2011,8.2
PJM,Coal,billion kilowatthours,March,2011,32.48
PJM,Nuclear,billion kilowatthours,March,2011,22.9
PJM,Conventional hydropower,billion kilowatthours,March,2011,1.11
PJM,Nonhydro renewables,billion kilowatthours,March,2011,1.59
PJM,other energy sources,billion kilowatthours,March,2011,0.2
SERC,Natural gas,billion kilowatthours,March,2011,7.23
SERC,Coal,billion kilowatthours,March,2011,24.34
SERC,Nuclear,billion kilowatthours,March,2011,15.02
SERC,Conventional hydropower,billion kilowatthours,March,2011,4.06
SERC,Nonhydro renewables,billion kilowatthours,March,2011,0.14
SERC,other energy sources,billion kilowatthours,March,2011,-0.05
FRCC,Natural gas,billion kilowatthours,March,2011,9.74
FRCC,Coal,billion kilowatthours,March,2011,2.91
FRCC,Nuclear,billion kilowatthours,March,2011,1.36
FRCC,Conventional hydropower,billion kilowatthours,March,2011,0.02
FRCC,Nonhydro renewables,billion kilowatthours,March,2011,0.21
FRCC,other energy sources,billion kilowatthours,March,2011,0.39
MISO,Natural gas,billion kilowatthours,March,2011,6.66
MISO,Coal,billion kilowatthours,March,2011,33.19
MISO,Nuclear,billion kilowatthours,March,2011,8
MISO,Conventional hydropower,billion kilowatthours,March,2011,0.68
MISO,Nonhydro renewables,billion kilowatthours,March,2011,2.51
MISO,other energy sources,billion kilowatthours,March,2011,0.86
SPP,Natural gas,billion kilowatthours,March,2011,3.43
SPP,Coal,billion kilowatthours,March,2011,13.35
SPP,Nuclear,billion kilowatthours,March,2011,1.09
SPP,Conventional hydropower,billion kilowatthours,March,2011,1.01
SPP,Nonhydro renewables,billion kilowatthours,March,2011,1.5
SPP,other energy sources,billion kilowatthours,March,2011,0.16
ERCOT,Natural gas,billion kilowatthours,March,2011,6.29
ERCOT,Coal,billion kilowatthours,March,2011,9.07
ERCOT,Nuclear,billion kilowatthours,March,2011,3.81
ERCOT,Conventional hydropower,billion kilowatthours,March,2011,0.03
ERCOT,Nonhydro renewables,billion kilowatthours,March,2011,2.52
ERCOT,other energy sources,billion kilowatthours,March,2011,0.23
Northwest and Rockies,Natural gas,billion kilowatthours,March,2011,2.79
Northwest and Rockies,Coal,billion kilowatthours,March,2011,10.37
Northwest and Rockies,Nuclear,billion kilowatthours,March,2011,0.81
Northwest and Rockies,Conventional hydropower,billion kilowatthours,March,2011,15.86
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,March,2011,2.25
Northwest and Rockies,other energy sources,billion kilowatthours,March,2011,0.05
Southwest,Natural gas,billion kilowatthours,March,2011,1.12
Southwest,Coal,billion kilowatthours,March,2011,5.48
Southwest,Nuclear,billion kilowatthours,March,2011,2.88
Southwest,Conventional hydropower,billion kilowatthours,March,2011,1.02
Southwest,Nonhydro renewables,billion kilowatthours,March,2011,0.58
Southwest,other energy sources,billion kilowatthours,March,2011,0
CAISO,Natural gas,billion kilowatthours,March,2011,5.17
CAISO,Coal,billion kilowatthours,March,2011,0.9
CAISO,Nuclear,billion kilowatthours,March,2011,3.22
CAISO,Conventional hydropower,billion kilowatthours,March,2011,3.84
CAISO,Nonhydro renewables,billion kilowatthours,March,2011,1.84
CAISO,other energy sources,billion kilowatthours,March,2011,0.14
ISO-NE,Natural gas,billion kilowatthours,April,2011,4.8
ISO-NE,Coal,billion kilowatthours,April,2011,0.62
ISO-NE,Nuclear,billion kilowatthours,April,2011,1.61
ISO-NE,Conventional hydropower,billion kilowatthours,April,2011,0.88
ISO-NE,Nonhydro renewables,billion kilowatthours,April,2011,0.4
ISO-NE,other energy sources,billion kilowatthours,April,2011,0.14
NYISO,Natural gas,billion kilowatthours,April,2011,3.76
NYISO,Coal,billion kilowatthours,April,2011,0.61
NYISO,Nuclear,billion kilowatthours,April,2011,3.13
NYISO,Conventional hydropower,billion kilowatthours,April,2011,2.17
NYISO,Nonhydro renewables,billion kilowatthours,April,2011,0.45
NYISO,other energy sources,billion kilowatthours,April,2011,0.04
PJM,Natural gas,billion kilowatthours,April,2011,6.79
PJM,Coal,billion kilowatthours,April,2011,29.33
PJM,Nuclear,billion kilowatthours,April,2011,19.94
PJM,Conventional hydropower,billion kilowatthours,April,2011,1.08
PJM,Nonhydro renewables,billion kilowatthours,April,2011,1.79
PJM,other energy sources,billion kilowatthours,April,2011,0.18
SERC,Natural gas,billion kilowatthours,April,2011,7.59
SERC,Coal,billion kilowatthours,April,2011,22.76
SERC,Nuclear,billion kilowatthours,April,2011,13.55
SERC,Conventional hydropower,billion kilowatthours,April,2011,3.64
SERC,Nonhydro renewables,billion kilowatthours,April,2011,0.15
SERC,other energy sources,billion kilowatthours,April,2011,-0.05
FRCC,Natural gas,billion kilowatthours,April,2011,11.37
FRCC,Coal,billion kilowatthours,April,2011,3.95
FRCC,Nuclear,billion kilowatthours,April,2011,1.1
FRCC,Conventional hydropower,billion kilowatthours,April,2011,0.02
FRCC,Nonhydro renewables,billion kilowatthours,April,2011,0.2
FRCC,other energy sources,billion kilowatthours,April,2011,0.51
MISO,Natural gas,billion kilowatthours,April,2011,6.55
MISO,Coal,billion kilowatthours,April,2011,29.19
MISO,Nuclear,billion kilowatthours,April,2011,7.9
MISO,Conventional hydropower,billion kilowatthours,April,2011,0.71
MISO,Nonhydro renewables,billion kilowatthours,April,2011,2.89
MISO,other energy sources,billion kilowatthours,April,2011,0.7
SPP,Natural gas,billion kilowatthours,April,2011,3.35
SPP,Coal,billion kilowatthours,April,2011,12.8
SPP,Nuclear,billion kilowatthours,April,2011,0.1
SPP,Conventional hydropower,billion kilowatthours,April,2011,1.1
SPP,Nonhydro renewables,billion kilowatthours,April,2011,1.62
SPP,other energy sources,billion kilowatthours,April,2011,0.12
ERCOT,Natural gas,billion kilowatthours,April,2011,9.62
ERCOT,Coal,billion kilowatthours,April,2011,9.9
ERCOT,Nuclear,billion kilowatthours,April,2011,2.02
ERCOT,Conventional hydropower,billion kilowatthours,April,2011,0.07
ERCOT,Nonhydro renewables,billion kilowatthours,April,2011,2.84
ERCOT,other energy sources,billion kilowatthours,April,2011,0.18
Northwest and Rockies,Natural gas,billion kilowatthours,April,2011,2.98
Northwest and Rockies,Coal,billion kilowatthours,April,2011,8.14
Northwest and Rockies,Nuclear,billion kilowatthours,April,2011,0.02
Northwest and Rockies,Conventional hydropower,billion kilowatthours,April,2011,15.68
Northwest and Rockies,Nonhydro renewables,billion kilowatthours,April,2011,2.71
Northwest and Rockies,other energy sources,billion kilowatthours,April,2011,0.02
Southwest,Natural gas,billion kilowatthours,April,2011,1.82
Southwest,Coal,billion kilowatthours,April,2011,5.04
Southwest,Nuclear,billion kilowatthours,April,2011,1.93
Southwest,Conventional hydropower,billion kilowatthours,April,2011,1.03
Southwest,Nonhydro renewables,billion kilowatthours,April,2011,0.57
Southwest,other energy sources,billion kilowatthours,April,2011,0
CAISO,Natural gas,billion kilowatthours,April,2011,4.32
CAISO,Coal,billion kilowatthours,April,2011,0.76
CAISO,Nuclear,billion kilowatthours,April,2011,3.24
CAISO,Conventional hydropower,billion kilowatthours,April,2011,4.53
CAISO,Nonhydro renewables,billion kilowatthours,April,2011,2.12
CAISO,other energy sources,billion kilowatthours,April,2011,0.09
ISO-NE,Natural gas,billion kilowatthours,May,2011,4.61
ISO-NE,Coal,billion kilowatthours,May,2011,0.34
ISO-NE,Nuclear,billion kilowatthours,May,2011,2.37
ISO-NE,Conventional hydropower,billion kilowatthours,May,2011,1
ISO-NE,Nonhydro renewables,billion kilowatthours,May,2011,0.4
ISO-NE,other energy sources,billion kilowatthours,May,2011,0.13
NYISO,Natural gas,billion kilowatthours,May,2011,4.09
NYISO,Coal,billion kilowatthours,May,2011,0.65
NYISO,Nuclear,billion kilowatthours,May,2011,3.06
NYISO,Conventional hydropower,billion kilowatthours,May,2011,2.53
NYISO,Nonhydro renewables,billion kilowatthours,May,2011,0.32
NYISO,other energy sources,billion kilowatthours,May,2011,0.06
PJM,Natural gas,billion kilowatthours,May,2011,8.08
